,Date,Species,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Most_Recent_Spray,Recently_Sprayed,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Weather_hotAndDry,Weather_normal,Day_of_Month,Month,Year,Day_of_Week
0,2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.955,-87.801,9,1,0,3650.0,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,0,0,29,5,2007,1
1,2007-05-29,CULEX RESTUANS,T002,41.955,-87.801,9,1,0,3650.0,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,0,0,29,5,2007,1
2,2007-05-29,CULEX RESTUANS,T007,41.995,-87.769,9,1,0,3650.0,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,0,0,29,5,2007,1
3,2007-05-29,CULEX PIPIENS/RESTUANS,T015,41.974,-87.825,8,1,0,3650.0,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,0,0,29,5,2007,1
4,2007-05-29,CULEX RESTUANS,T015,41.974,-87.825,8,4,0,3650.0,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,0,0,29,5,2007,1
5,2007-05-29,CULEX RESTUANS,T045,41.922,-87.666,8,2,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
6,2007-05-29,CULEX RESTUANS,T046,41.891,-87.654,8,1,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
7,2007-05-29,CULEX PIPIENS/RESTUANS,T048,41.867,-87.654,8,1,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
8,2007-05-29,CULEX RESTUANS,T048,41.867,-87.654,8,2,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
9,2007-05-29,CULEX RESTUANS,T049,41.896,-87.655,8,1,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
10,2007-05-29,CULEX PIPIENS/RESTUANS,T050,41.919,-87.694,8,1,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
11,2007-05-29,CULEX PIPIENS/RESTUANS,T054,41.922,-87.632,8,2,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
12,2007-05-29,CULEX RESTUANS,T054,41.922,-87.632,8,3,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
13,2007-05-29,CULEX PIPIENS/RESTUANS,T086,41.688,-87.677,8,1,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
14,2007-05-29,CULEX RESTUANS,T086,41.688,-87.677,8,1,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
15,2007-05-29,CULEX RESTUANS,T091,41.862,-87.649,8,1,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
16,2007-05-29,CULEX RESTUANS,T094,41.721,-87.666,9,3,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
17,2007-05-29,CULEX RESTUANS,T096,41.732,-87.678,8,5,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
18,2007-05-29,CULEX PIPIENS,T096,41.732,-87.678,8,1,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
19,2007-05-29,CULEX PIPIENS/RESTUANS,T129,41.891,-87.612,5,1,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
20,2007-05-29,CULEX RESTUANS,T129,41.891,-87.612,5,2,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
21,2007-05-29,CULEX PIPIENS/RESTUANS,T143,41.999,-87.796,8,1,0,3650.0,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,0,0,29,5,2007,1
22,2007-05-29,CULEX PIPIENS/RESTUANS,T148,42.017,-87.688,8,1,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
23,2007-05-29,CULEX RESTUANS,T153,41.908,-87.761,8,1,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
24,2007-05-29,CULEX RESTUANS,T159,41.733,-87.65,8,1,0,3650.0,0,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,0,29,5,2007,1
25,2007-06-05,CULEX PIPIENS/RESTUANS,T002,41.955,-87.801,9,3,0,3650.0,0,64,47,56,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,5,6,2007,1
26,2007-06-05,CULEX RESTUANS,T002,41.955,-87.801,9,5,0,3650.0,0,64,47,56,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,5,6,2007,1
27,2007-06-05,CULEX PIPIENS,T002,41.955,-87.801,9,1,0,3650.0,0,64,47,56,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,5,6,2007,1
28,2007-06-05,CULEX PIPIENS/RESTUANS,T015,41.974,-87.825,8,1,0,3650.0,0,64,47,56,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,5,6,2007,1
29,2007-06-05,CULEX RESTUANS,T015,41.974,-87.825,8,2,0,3650.0,0,64,47,56,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,5,6,2007,1
30,2007-06-05,CULEX PIPIENS/RESTUANS,T045,41.922,-87.666,8,1,0,3650.0,0,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,0,0,5,6,2007,1
31,2007-06-05,CULEX RESTUANS,T045,41.922,-87.666,8,2,0,3650.0,0,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,0,0,5,6,2007,1
32,2007-06-05,CULEX PIPIENS,T045,41.922,-87.666,8,1,0,3650.0,0,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,0,0,5,6,2007,1
33,2007-06-05,CULEX RESTUANS,T046,41.891,-87.654,8,1,0,3650.0,0,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,0,0,5,6,2007,1
