Latitude,Longitude,count,max,min,ptp
41.997,-87.811,3,2013-09-05,2011-09-07,729
41.954,-87.784,4,2013-08-16,2013-08-15,1
41.911,-87.75,2,2013-08-16,2013-08-15,1
41.957,-87.784,3,2013-08-16,2013-08-15,1
41.965,-87.782,5,2013-08-16,2013-08-15,1
41.965,-87.783,3,2013-08-16,2013-08-15,1
41.952,-87.717,2,2013-07-25,2013-07-25,0
41.953,-87.805,1,2013-08-15,2013-08-15,0
41.952,-87.709,4,2013-07-25,2013-07-25,0
41.952,-87.71,4,2013-07-25,2013-07-25,0
41.952,-87.711,1,2013-07-25,2013-07-25,0
41.952,-87.712,5,2013-07-25,2013-07-25,0
41.952,-87.713,2,2013-07-25,2013-07-25,0
41.952,-87.714,4,2013-07-25,2013-07-25,0
41.952,-87.715,5,2013-07-25,2013-07-25,0
41.952,-87.722,2,2013-07-25,2013-07-25,0
41.953,-87.784,1,2013-08-15,2013-08-15,0
41.952,-87.723,6,2013-07-25,2013-07-25,0
41.952,-87.724,5,2013-07-25,2013-07-25,0
41.952,-87.725,5,2013-07-25,2013-07-25,0
41.952,-87.726,2,2013-07-25,2013-07-25,0
41.952,-87.729,2,2013-07-25,2013-07-25,0
41.952,-87.73,3,2013-07-25,2013-07-25,0
41.952,-87.731,5,2013-07-25,2013-07-25,0
41.952,-87.732,1,2013-07-25,2013-07-25,0
41.952,-87.734,2,2013-07-25,2013-07-25,0
41.952,-87.735,2,2013-07-25,2013-07-25,0
41.952,-87.737,2,2013-07-25,2013-07-25,0
41.953,-87.794,1,2013-08-15,2013-08-15,0
41.953,-87.78,1,2013-08-16,2013-08-16,0
41.953,-87.783,2,2013-08-15,2013-08-15,0
41.953,-87.782,1,2013-08-15,2013-08-15,0
41.954,-87.785,3,2013-08-16,2013-08-16,0
41.954,-87.786,1,2013-08-16,2013-08-16,0
41.953,-87.709,2,2013-07-25,2013-07-25,0
41.953,-87.71,3,2013-07-25,2013-07-25,0
41.953,-87.712,3,2013-07-25,2013-07-25,0
41.953,-87.713,1,2013-07-25,2013-07-25,0
41.953,-87.714,1,2013-07-25,2013-07-25,0
41.953,-87.715,3,2013-07-25,2013-07-25,0
41.953,-87.716,1,2013-07-25,2013-07-25,0
41.953,-87.717,2,2013-07-25,2013-07-25,0
41.953,-87.722,2,2013-07-25,2013-07-25,0
41.953,-87.723,2,2013-07-25,2013-07-25,0
41.953,-87.725,2,2013-07-25,2013-07-25,0
41.953,-87.726,1,2013-07-25,2013-07-25,0
41.953,-87.727,1,2013-07-25,2013-07-25,0
41.953,-87.731,2,2013-07-25,2013-07-25,0
41.953,-87.732,3,2013-07-25,2013-07-25,0
41.953,-87.734,1,2013-07-25,2013-07-25,0
41.953,-87.737,1,2013-07-25,2013-07-25,0
41.953,-87.738,2,2013-07-25,2013-07-25,0
41.952,-87.777,1,2013-08-15,2013-08-15,0
41.952,-87.738,3,2013-07-25,2013-07-25,0
41.714,-87.66,1,2013-07-17,2013-07-17,0
41.952,-87.778,1,2013-08-15,2013-08-15,0
41.952,-87.81,3,2013-08-15,2013-08-15,0
41.952,-87.812,2,2013-08-15,2013-08-15,0
41.952,-87.813,4,2013-08-15,2013-08-15,0
41.952,-87.815,3,2013-08-15,2013-08-15,0
41.952,-87.816,3,2013-08-15,2013-08-15,0
41.952,-87.817,2,2013-08-15,2013-08-15,0
41.952,-87.818,1,2013-08-15,2013-08-15,0
41.951,-87.709,3,2013-07-25,2013-07-25,0
41.951,-87.71,2,2013-07-25,2013-07-25,0
41.951,-87.712,2,2013-07-25,2013-07-25,0
41.951,-87.713,2,2013-07-25,2013-07-25,0
41.951,-87.714,2,2013-07-25,2013-07-25,0
41.951,-87.715,2,2013-07-25,2013-07-25,0
41.951,-87.717,3,2013-07-25,2013-07-25,0
41.951,-87.721,1,2013-07-25,2013-07-25,0
41.951,-87.723,1,2013-07-25,2013-07-25,0
41.951,-87.724,4,2013-07-25,2013-07-25,0
41.951,-87.725,2,2013-07-25,2013-07-25,0
41.951,-87.728,1,2013-07-25,2013-07-25,0
41.951,-87.729,2,2013-07-25,2013-07-25,0
41.951,-87.731,3,2013-07-25,2013-07-25,0
41.951,-87.732,2,2013-07-25,2013-07-25,0
41.952,-87.811,2,2013-08-15,2013-08-15,0
41.952,-87.809,4,2013-08-15,2013-08-15,0
41.954,-87.783,3,2013-08-16,2013-08-16,0
41.952,-87.806,2,2013-08-15,2013-08-15,0
41.952,-87.78,2,2013-08-15,2013-08-15,0
41.952,-87.781,1,2013-08-15,2013-08-15,0
41.952,-87.782,1,2013-08-15,2013-08-15,0
41.952,-87.783,2,2013-08-15,2013-08-15,0
41.952,-87.784,3,2013-08-15,2013-08-15,0
41.952,-87.787,4,2013-08-15,2013-08-15,0
